Team,Test Set,Track,Run,Accuracy,F1 (micro),F1 (macro),F1 (weighted)
QCRI,C,closed,run1,0.513636363636,0.513636363636,0.509052087652,0.511212132492
QCRI,C,closed,run2,0.511688311688,0.511688311688,0.502251689354,0.506500467227
QCRI,C,open,run1,0.379220779221,0.379220779221,0.3461894589,0.351950562747
QCRI,C,open,run2,0.374675324675,0.374675324675,0.337114676297,0.341274539068
