Rank,Team,Run,Accuracy,F1 (weighted)
1,ASIREM,run3,0.531818181818,0.52744428868
2,GWU_LT3,run3,0.490909090909,0.492856962848
3,QCRI,run1,0.379220779221,0.351950562747
