Rank,Team,Run,Accuracy,F1 (weighted)
1,nrc,run1,0.9,0.899880824275
2,SUKI,run2,0.796,0.790459974355
3,PITEOG,run1,0.728,0.758588411782
4,Citius_Ixa_Imaxin,run1,0.692,0.695177678009
